Name; Probe ID,Description (GNF1M; Sanger),Phylogenetic Age,process_5,function_5,component_10,Probe ID,olfactory bulb,frontal cortex,cerebral cortex,hippocampus,dorsal striatum,preoptic,hypothalamus,amygdala,cerebellum,pituitary
AFFX-18SRNAMur/X00686_3_at;,,,,,,AFFX-18SRNAMur/X00686_3_at,2437,761.1,6840.4,4000.5,6905.7,228.5,333.7,262.2,5987.4,9187.2
AFFX-18SRNAMur/X00686_5_at;,,,,,,AFFX-18SRNAMur/X00686_5_at,1278.2,223.7,749.1,695.4,2743.4,34.7,135.7,84.4,3625.1,3492
AFFX-18SRNAMur/X00686_M_at;,,,,,,AFFX-18SRNAMur/X00686_M_at,329.8,113.5,254.9,272.1,1279.6,20.1,90.9,35.8,905,659.3
Actb; AFFX-b-ActinMur/M12481_3_at,"actin, beta, cytoplasmic",E,,ATP binding:GO:0005524,actin filament:GO:0005884,AFFX-b-ActinMur/M12481_3_at,9641.9,10878.6,12426.2,12463.1,11520.7,5175.2,10100.1,6660.1,8475.9,9676.2
Actb; AFFX-b-ActinMur/M12481_5_at,"actin, beta, cytoplasmic",E,,ATP binding:GO:0005524,actin filament:GO:0005884,AFFX-b-ActinMur/M12481_5_at,5721.2,7308.9,7179.5,7540.7,5816.5,3151.7,6744.3,3493.4,3872.4,4962.4
Actb; AFFX-b-ActinMur/M12481_M_at,"actin, beta, cytoplasmic",E,,ATP binding:GO:0005524,actin filament:GO:0005884,AFFX-b-ActinMur/M12481_M_at,5764.7,7312.3,7893.4,7464.9,7746.1,3079.1,7057.6,3692.4,4530,4892.9
AFFX-BioB-3_at;,,,,,,AFFX-BioB-3_at,220.1,171.4,228.5,143.7,342.5,142.1,272.4,90.2,255,208.6
AFFX-BioB-5_at;,,,,,,AFFX-BioB-5_at,436.4,353.7,591.3,382.9,573.4,249.4,429.2,228,323.9,363.1
AFFX-BioB-M_at;,,,,,,AFFX-BioB-M_at,461.6,324.2,665.2,375.3,744.7,334.1,433.5,235.3,419.3,500.5
AFFX-BioC-3_at;,,,,,,AFFX-BioC-3_at,412.5,401.2,445.4,404.7,600.7,349.5,411.5,260.9,412.1,506.4
AFFX-BioC-5_at;,,,,,,AFFX-BioC-5_at,673.4,561.8,784.5,630.8,932.7,559.9,622.8,392.2,722.1,674.6
AFFX-BioDn-3_at;,,,,,,AFFX-BioDn-3_at,4509.1,4027.3,5282.1,3877.5,6656,3076.7,4363.2,2975.8,3528.9,4719.1
AFFX-BioDn-5_at;,,,,,,AFFX-BioDn-5_at,797.1,605,865.4,481.8,905,447.4,700.3,468,573.5,547
AFFX-CreX-3_at;,,,,,,AFFX-CreX-3_at,13986.1,9835.8,13148.4,10920.7,17823,10618.4,13072.4,8034.3,9977.5,12815.9
AFFX-CreX-5_at;,,,,,,AFFX-CreX-5_at,8987.2,8049.9,10875.9,6318.6,13368.5,5985.5,9344.2,6221.1,6018.6,7904.8
AFFX-DapX-3_at;,,,,,,AFFX-DapX-3_at,14.6,10.3,12.4,12.7,13.4,5.8,27.5,11.8,15.2,10.2
AFFX-DapX-5_at;,,,,,,AFFX-DapX-5_at,50,74.9,63.3,53.1,69.9,41.3,76.4,66.9,70,62.7
AFFX-DapX-M_at;,,,,,,AFFX-DapX-M_at,65.5,47.2,67.3,49.5,83.3,49.9,65.2,63.5,57.6,31
AFFX-GapdhMur/M32599_3_at;,,U,,,,AFFX-GapdhMur/M32599_3_at,9567.5,7031.6,8703.3,8738.5,9686.4,8609.8,7991.2,6304,7942.8,4868.1
Gapdh; AFFX-GapdhMur/M32599_5_at,glyceraldehyde-3-phosphate dehydrogenase,U,monosaccharide metabolism:GO:0005996,NAD binding:GO:0051287,mitochondrion:GO:0005739,AFFX-GapdhMur/M32599_5_at,9980.1,8904.6,10848.5,9126.3,8673,9768.2,8370.2,7968.6,8478.7,4847.1
Gapdh; AFFX-GapdhMur/M32599_M_at,glyceraldehyde-3-phosphate dehydrogenase,U,monosaccharide metabolism:GO:0005996,NAD binding:GO:0051287,mitochondrion:GO:0005739,AFFX-GapdhMur/M32599_M_at,9363.2,7356.2,9135.7,8938.7,8553.9,10240.9,7727.4,6820.6,8705.7,4714.9
AFFX-LysX-3_at;,,,,,,AFFX-LysX-3_at,25.1,7,35.3,23.6,26.9,9.2,27.9,6,40.9,66.7
AFFX-LysX-5_at;,,,,,,AFFX-LysX-5_at,22.2,6.9,26.2,25.9,36.6,15.8,5,41.7,16.8,16.7
AFFX-LysX-M_at;,,,,,,AFFX-LysX-M_at,26.8,11.9,8.3,48.4,33.9,47,8.9,38.6,67.1,63.1
AFFX-MUR_b2_at;,,,,,,AFFX-MUR_b2_at,1071.6,1213.1,1371,1246.8,1381.4,820.1,1246.1,1458.1,1016.8,1099.4
AFFX-MURINE_b1_at;,,Z,,,,AFFX-MURINE_b1_at,19455.6,18027.8,21548.4,25973.8,32295.1,21908.8,21672.3,16983.5,15959.7,16816.8
Cyp2e1; AFFX-MURINE_B2_at,"cytochrome P450, family 2, subfamily e, polypeptide 1",E,electron transport:GO:0006118,unspecific monooxygenase activity:GO:0050381,membrane:GO:0016020,AFFX-MURINE_B2_at,16272.5,12541.1,15313,15908.4,20414.4,14080.5,18319.7,13861.6,12665.3,12562
AFFX-PheX-3_at;,,,,,,AFFX-PheX-3_at,21,26.7,31.8,26.1,26.7,44.7,29.7,30.1,23.1,65.1
AFFX-PheX-5_at;,,,,,,AFFX-PheX-5_at,7.8,9.5,13.7,8.3,11.3,7.6,10.2,10.3,6.2,4.7
AFFX-PheX-M_at;,,,,,,AFFX-PheX-M_at,7.3,6.7,7.8,8.9,10.8,6.9,12.8,7.6,38.5,4.3
Pcx; AFFX-PyruCarbMur/L09192_3_at,pyruvate carboxylase,U,lipid biosynthesis:GO:0008610,manganese ion binding:GO:0030145,mitochondrion:GO:0005739,AFFX-PyruCarbMur/L09192_3_at,356,374.8,373.7,267.2,324,431.7,398.2,228.8,436.7,65.7
Pcx; AFFX-PyruCarbMur/L09192_5_at,pyruvate carboxylase,U,lipid biosynthesis:GO:0008610,manganese ion binding:GO:0030145,mitochondrion:GO:0005739,AFFX-PyruCarbMur/L09192_5_at,298.2,234.1,217.3,241.6,273.4,165.3,199.1,208.6,213.9,231.7
Pcx; AFFX-PyruCarbMur/L09192_MA_at,pyruvate carboxylase,U,lipid biosynthesis:GO:0008610,manganese ion binding:GO:0030145,mitochondrion:GO:0005739,AFFX-PyruCarbMur/L09192_MA_at,54.1,69.4,62.2,57.4,69.2,152.9,59.6,59.2,42.1,45.4
Pcx; AFFX-PyruCarbMur/L09192_MB_at,pyruvate carboxylase,U,lipid biosynthesis:GO:0008610,manganese ion binding:GO:0030145,mitochondrion:GO:0005739,AFFX-PyruCarbMur/L09192_MB_at,101.1,96.6,84,46.3,44.7,131.8,102.5,33.3,167.1,17.3
AFFX-r2-Bs-dap-3_at;,,,,,,AFFX-r2-Bs-dap-3_at,19.5,5.8,4.7,21.1,15.4,2.9,2.2,2.6,2.9,15.6
AFFX-r2-Bs-dap-5_at;,,,,,,AFFX-r2-Bs-dap-5_at,5.5,8.6,6.1,7.2,8.5,4.3,7.2,9,5.3,5.3
AFFX-r2-Bs-dap-M_at;,,,,,,AFFX-r2-Bs-dap-M_at,1.4,10,3.5,23.8,5.7,8.8,2.4,12.2,23.4,2.7
AFFX-r2-Bs-lys-3_at;,,,,,,AFFX-r2-Bs-lys-3_at,67,87.2,98.4,80.4,66.1,80.3,83,86,106.9,91.4
AFFX-r2-Bs-lys-5_at;,,,,,,AFFX-r2-Bs-lys-5_at,25.2,35.9,45.1,10.9,32.2,11.6,11.2,18.7,37.8,21
AFFX-r2-Bs-lys-M_at;,,,,,,AFFX-r2-Bs-lys-M_at,14.8,38.4,7.1,39,9.1,17.4,38.7,39.7,20.9,19
AFFX-r2-Bs-phe-3_at;,,,,,,AFFX-r2-Bs-phe-3_at,69.5,118.4,17.5,39.6,23.9,102.7,40.5,96.3,73,74.9
AFFX-r2-Bs-phe-5_at;,,,,,,AFFX-r2-Bs-phe-5_at,30.1,13.4,39.1,5.8,32.7,3.2,3.7,8,30.7,6.6
AFFX-r2-Bs-phe-M_at;,,,,,,AFFX-r2-Bs-phe-M_at,26.5,36.7,6.3,18,35.5,14.6,31.3,8.1,5.3,23.2
AFFX-r2-Bs-thr-3_s_at;,,,,,,AFFX-r2-Bs-thr-3_s_at,40.1,47.8,10.5,20.6,24.1,25,79.2,26.8,28.8,123.8
AFFX-r2-Bs-thr-5_s_at;,,,,,,AFFX-r2-Bs-thr-5_s_at,178.6,145.7,78.6,132.6,196.8,62.4,157,77,97.9,86.8
AFFX-r2-Bs-thr-M_s_at;,,,,,,AFFX-r2-Bs-thr-M_s_at,92.6,95.8,69.9,130.3,112.5,18.6,88.8,122.3,144.7,115.9
AFFX-r2-Ec-bioB-3_at;,,,,,,AFFX-r2-Ec-bioB-3_at,508.5,387.4,577.3,518.8,761,403.3,385,263,343.7,499
AFFX-r2-Ec-bioB-5_at;,,,,,,AFFX-r2-Ec-bioB-5_at,216.7,154.5,205,183.5,352.4,124.4,166.3,170.4,178.7,259.3
AFFX-r2-Ec-bioB-M_at;,,,,,,AFFX-r2-Ec-bioB-M_at,669.5,439.3,623,504.8,824.2,408.5,530.8,267.8,454.8,461.2
AFFX-r2-Ec-bioC-3_at;,,,,,,AFFX-r2-Ec-bioC-3_at,1090,1125.4,1179.7,1205.4,1604.6,847.9,1220.1,708.5,1039.6,1000
AFFX-r2-Ec-bioC-5_at;,,,,,,AFFX-r2-Ec-bioC-5_at,834,685.8,927.9,824.4,1198.6,615.2,801.6,418.9,772.6,793.3
AFFX-r2-Ec-bioD-3_at;,,,,,,AFFX-r2-Ec-bioD-3_at,5214.6,4036.4,6162,5156.2,7254.1,2562.3,4387.3,2832.2,3030.6,3241
AFFX-r2-Ec-bioD-5_at;,,,,,,AFFX-r2-Ec-bioD-5_at,4394.2,3585.9,5171.9,4117.4,6319,2370.9,4275.8,2383.5,2834.9,2916.8
AFFX-r2-P1-cre-3_at;,,,,,,AFFX-r2-P1-cre-3_at,24206.9,17811.4,23701.3,22256.2,33514.2,14368.1,22688.9,14646.4,15397.8,16793
AFFX-r2-P1-cre-5_at;,,,,,,AFFX-r2-P1-cre-5_at,17509.6,14142.4,18813.1,16440.5,24578.9,10715,17469.8,9718.9,11892.6,14114.7
AFFX-ThrX-3_at;,,,,,,AFFX-ThrX-3_at,17.3,16,13.9,21.1,58.8,8.5,17.2,18.7,18.7,11
AFFX-ThrX-5_at;,,,,,,AFFX-ThrX-5_at,11.2,10.8,12.5,18.7,16.3,12.5,15.9,13.8,24.7,14.7
AFFX-ThrX-M_at;,,,,,,AFFX-ThrX-M_at,15.6,30.1,38.2,30.4,6.2,25.5,28.8,41.1,34.6,47.2
Tfrc; AFFX-TransRecMur/X57349_3_at,transferrin receptor,U,endocytosis:GO:0006897,peptidase activity:GO:0008233,perinuclear region:GO:0048471,AFFX-TransRecMur/X57349_3_at,143.2,118.4,142.9,133.3,94.9,75.5,95.6,94.5,92.3,71
Tfrc; AFFX-TransRecMur/X57349_5_at,transferrin receptor,U,endocytosis:GO:0006897,peptidase activity:GO:0008233,perinuclear region:GO:0048471,AFFX-TransRecMur/X57349_5_at,46.9,86.8,71.6,80,64.3,31.3,70.5,68.4,59.6,101.5
Tfrc; AFFX-TransRecMur/X57349_M_at,transferrin receptor,U,endocytosis:GO:0006897,peptidase activity:GO:0008233,perinuclear region:GO:0048471,AFFX-TransRecMur/X57349_M_at,5.9,36.7,6.6,8.9,9.8,5.3,11.6,7.4,15.8,4.1
AFFX-TrpnX-3_at;,,,,,,AFFX-TrpnX-3_at,8.6,5.9,2.2,3,16.9,4,1.9,9.7,3.6,19.6
AFFX-TrpnX-5_at;,,,,,,AFFX-TrpnX-5_at,13.4,8.7,7.7,5,22.5,9,6.5,5.5,16.7,6.6
AFFX-TrpnX-M_at;,,,,,,AFFX-TrpnX-M_at,7.9,8.8,5.2,6.5,9.1,5.5,5.2,4.1,5,11.7
Serpinb3a; gnf1m00001_at,"serine (or cysteine) proteinase inhibitor, clade B, member 3C; serine (or cysteine) peptidase inhibitor, clade B, member 3C",U,,serine-type endopeptidase inhibitor activity:GO:0004867,,gnf1m00001_at,31.1,27.2,28.7,65.8,11,28.3,17.7,17.6,36.1,24.9
Tuba3; gnf1m00002_f_at,"tubulin, alpha 7",E,cellular protein metabolism:GO:0044267,GTP binding:GO:0005525,protein complex:GO:0043234,gnf1m00002_f_at,245.6,364.6,365,207.5,303.9,477.2,265.8,347.5,360.3,290
Klra4; gnf1m00003_f_at,"killer cell lectin-like receptor, subfamily A, member 1; killer cell lectin-like receptor, subfamily A, member 25",M,cell adhesion:GO:0007155,sugar binding:GO:0005529,integral to membrane:GO:0016021,gnf1m00003_f_at,9.1,6.1,9.4,6.1,8.9,3.3,19.1,5.2,5,6.4
Klra1; gnf1m00004_f_at,"killer cell lectin-like receptor subfamily A, member 9; killer cell lectin-like receptor, subfamily A, member 1",Z,,sugar binding:GO:0005529,plasma membrane:GO:0005886,gnf1m00004_f_at,18.2,32,26.9,19.5,36.9,8.8,11.5,24.7,12.6,17.6
Klra7; gnf1m00005_f_at,"killer cell lectin-like receptor, subfamily A, member 7",Z,,sugar binding:GO:0005529,plasma membrane:GO:0005886,gnf1m00005_f_at,115.4,81.6,82.5,128.4,137.6,94.3,114.4,112.7,111.3,131.7
Klra7; gnf1m00006_f_at,"killer cell lectin-like receptor, subfamily A, member 7",Z,,sugar binding:GO:0005529,plasma membrane:GO:0005886,gnf1m00006_f_at,45.4,72.7,41.2,71.4,73.5,36.6,100.4,85.6,52.3,66
Sh3bgrl2; gnf1m00007_a_at,SH3 domain binding glutamic acid-rich protein like 2,,,,nucleus:GO:0005634,gnf1m00007_a_at,540,220.4,199,225.8,222.6,160.5,177.4,225.6,214.2,204.1
Hps6; gnf1m00008_a_at,Hermansky-Pudlak syndrome 6,M,organelle organization and biogenesis:GO:0006996,protein binding:GO:0005515,,gnf1m00008_a_at,18.2,25.5,25.7,17.1,29.1,24,16.3,20,16.2,16.6
Il16; gnf1m00009_s_at,interleukin 16,Z,regulation of chemotaxis:GO:0050920,protein binding:GO:0005515,intracellular:GO:0005622,gnf1m00009_s_at,125,235.2,164.3,230.1,215.5,115.4,82.4,239,751.4,168.5
Tesk1; gnf1m00010_at,testis specific protein kinase 1,E,biopolymer modification:GO:0043412,manganese ion binding:GO:0030145,,gnf1m00010_at,289.5,354,467.1,317.7,365.3,469.5,264.1,252.1,265.5,320.4
Thap7; gnf1m00011_a_at,THAP domain containing 7,M,"regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabol:GO:0019219",metal ion binding:GO:0046872,chromosome:GO:0005694,gnf1m00011_a_at,29.1,31,40,28.8,36,31.3,30.4,27.5,43.9,290.9
Scamp5; gnf1m00012_at,secretory carrier membrane protein 5,E,protein transport:GO:0015031,,integral to membrane:GO:0016021,gnf1m00012_at,1401.6,1312.8,1725.1,1376.5,1324,1748.9,1087.9,1352.5,1447,594
Cpxm2; gnf1m00013_at,carboxypeptidase X 2 (M14 family),E,cell adhesion:GO:0007155,protein binding:GO:0005515,extracellular space:GO:0005615,gnf1m00013_at,136,200.4,164.3,196.2,131.3,112,190.4,168.9,109.2,215.4
Pik3c2g; gnf1m00014_a_at,"phosphatidylinositol 3-kinase, C2 domain containing, gamma polypeptide",,intracellular signaling cascade:GO:0007242,lipid kinase activity:GO:0001727,membrane:GO:0016020,gnf1m00014_a_at,30.3,91.1,94.2,54.3,78.9,53,86.8,107.7,86.4,61.8
